Ano;Mês;País;"Bloco Econômico";"UF do Município";"Codigo SH4";"Descrição SH4";"Codigo SH2";"Descrição SH2";"Codigo Seção";"Descrição Seção";"Valor FOB (US$)";"Quilograma Líquido"
2023;10;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8536;"Aparelhos para interrupção, seccionamento, protecção, derivação, ligação ou conexão de circuitos elétricos (por exemplo: interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, tomadas de corrente, machos e fêmeas, suportes para lâmpada";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";703322;78612
2023;06;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8708;"Partes e acessórios dos veículos automóveis das posições 8701 a 8705";87;"Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios";XVII;"Material de transporte";697672;203936
2023;04;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8536;"Aparelhos para interrupção, seccionamento, protecção, derivação, ligação ou conexão de circuitos elétricos (por exemplo: interruptores, comutadores, relés, corta-circuitos, eliminadores de onda, tomadas de corrente, machos e fêmeas, suportes para lâmpada";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";695785;63845
2023;03;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6201;"Sobretudos, japonas, gabões, capas, anoraques, blusões e semelhantes, de uso masculino, exceto os artefactos da posição 6203";62;"Vestuário e seus acessórios, exceto de Malha";XI;"Matérias têxteis e suas obras";692382;67110
2023;01;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6101;"Sobretudos, japonas, gabões, capas, anoraques, blusões e semelhantes, de malha, de uso masculino, exceto os artefactos da posição 6103";61;"Vestuário e seus acessórios, de malha";XI;"Matérias têxteis e suas obras";691398;81021
2023;06;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";2922;"Compostos aminados de funções oxigenadas";29;"Produtos químicos orgânicos";VI;"Produtos das indústrias químicas ou indústrias conexas";689194;488600
2023;02;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6202;"Casacos compridos, capas, anoraques, blusões e semelhantes, de uso feminino, exceto os artefactos da posição 6204";62;"Vestuário e seus acessórios, exceto de Malha";XI;"Matérias têxteis e suas obras";687407;74772
2023;07;Argentina;"Mercado Comum do Sul - Mercosul";"Santa Catarina";3823;"Ácidos gordos monocarboxílicos industriais; óleos ácidos de refinação; alcoóis gordos industriais";38;"Produtos diversos das indústrias químicas";VI;"Produtos das indústrias químicas ou indústrias conexas";685407;456000
2023;07;Argentina;"América do Sul";"Santa Catarina";3823;"Ácidos gordos monocarboxílicos industriais; óleos ácidos de refinação; alcoóis gordos industriais";38;"Produtos diversos das indústrias químicas";VI;"Produtos das indústrias químicas ou indústrias conexas";685407;456000
2023;05;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";3908;"Poliamidas em formas primárias";39;"Plásticos e suas obras";VII;"Plásticos e suas obras; Borracha e suas obras";678860;242000
2023;01;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";3908;"Poliamidas em formas primárias";39;"Plásticos e suas obras";VII;"Plásticos e suas obras; Borracha e suas obras";678120;192000
2023;10;"Reino Unido";Europa;"Santa Catarina";9027;"Instrumentos e aparelhos para análises físicas ou químicas (por exemplo: polarímetros, refractómetros, espectrómetros, analisadores de gases ou de fumos); instrumentos e aparelhos para ensaios de viscosidade, porosidade, dilatação, tensão superficial ou s";90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";XVIII;"Instrumentos e aparelhos de ótica, fotografia ou cinematografia, medida, controle ou de precisão; Instrumentos e aparelhos médico-cirúrgicos; Relógios e aparelhos semelhantes; Instrumentos musicais; Suas partes e acessórios";676960;656
2023;03;França;"União Europeia - UE";"Santa Catarina";9402;"Mobiliário para medicina, cirurgia, odontologia ou veterinária (por exemplo: mesas de operação, mesas de exames, camas dotadas de mecanismos para usos clínicos, cadeiras de dentista); cadeiras para salões de cabeleireiro e cadeiras semelhantes, com dispos";94;"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré";XX;"Mercadorias e produtos diversos";675372;33698
2023;03;França;Europa;"Santa Catarina";9402;"Mobiliário para medicina, cirurgia, odontologia ou veterinária (por exemplo: mesas de operação, mesas de exames, camas dotadas de mecanismos para usos clínicos, cadeiras de dentista); cadeiras para salões de cabeleireiro e cadeiras semelhantes, com dispos";94;"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré";XX;"Mercadorias e produtos diversos";675372;33698
2023;09;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";2922;"Compostos aminados de funções oxigenadas";29;"Produtos químicos orgânicos";VI;"Produtos das indústrias químicas ou indústrias conexas";668544;548555
2023;03;Alemanha;Europa;"Santa Catarina";1105;"Farinha, sêmola, pó, flocos, grânulos e pellets de batata";11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";II;"Produtos do reino vegetal";665074;462000
2023;03;Alemanha;"União Europeia - UE";"Santa Catarina";1105;"Farinha, sêmola, pó, flocos, grânulos e pellets de batata";11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";II;"Produtos do reino vegetal";665074;462000
2023;03;Bangladesh;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6110;"Camisolas e pulôveres, cardigans, coletes e artigos semelhantes, de malha";61;"Vestuário e seus acessórios, de malha";XI;"Matérias têxteis e suas obras";659515;55110
2023;06;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8517;"Aparelhos elétricos para telefonia ou telegrafia por fios, incluídos os aparelhos telefónicos por fio combinados com auscultadores sem fio e os aparelhos de telecomunicação por corrente portadora ou de telecomunicação digital; videofones";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";656857;17344
2023;04;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";2926;"Compostos de função nitrilo";29;"Produtos químicos orgânicos";VI;"Produtos das indústrias químicas ou indústrias conexas";656595;38400
2023;01;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";6406;"Partes de calçado (incluídas as partes superiores, mesmo fixadas a solas que não sejam as solas exteriores); palmilhas amovíveis; reforços interiores e artefactos semelhantes amovíveis; polainas, perneiras e artefactos semelhantes, e suas partes";64;"Calçados, polainas e artefatos semelhantes; suas partes";XII;"Calçado, chapéus e artefatos de uso semelhante, guarda-chuvas, guarda-sóis, bengalas, chicotes e suas partes; Penas preparadas e suas obras; Flores artificiais; Obras de cabelo";655441;49269
2023;08;China;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";8510;"Aparelhos ou máquinas de barbear e máquinas de cortar o cabelo ou de tosquiar e aparelhos ou máquinas de depilar, de motor eléctrico incorporado";85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";XVI;"Máquinas e aparelhos, material elétrico e suas partes; Aparelhos de gravação ou reprodução de som, aparelhos de gravação ou reprodução de imagens e de som em televisão, e suas partes e acessórios";644983;82375
2023;09;Indonésia;"Ásia (Exclusive Oriente Médio)";"Santa Catarina";3823;"Ácidos gordos monocarboxílicos industriais; óleos ácidos de refinação; alcoóis gordos industriais";38;"Produtos diversos das indústrias químicas";VI;"Produtos das indústrias químicas ou indústrias conexas";643989;439790
2023;09;Indonésia;"Associação de Nações do Sudeste Asiático - ASEAN";"Santa Catarina";3823;"Ácidos gordos monocarboxílicos industriais; óleos ácidos de refinação; alcoóis gordos industriais";38;"Produtos diversos das indústrias químicas";VI;"Produtos das indústrias químicas ou indústrias conexas";643989;439790
2023;01;"África do Sul";África;"Santa Catarina";2615;"Minérios de nióbio, tântalo, vanádio ou de zircónio, e seus concentrados";26;"Minerios, escórias e cinzas";V;"Produtos minerais";643745;312000
